anno;cantone;CPA_2_1_descr;misura;statistica;valore
2016;Svizzera;26 Prodotti informatici, elettronici ed ottici;Tot_complessivo_in_fr.;importazioni;16473578117.88
2016;Svizzera;27 Apparecchiature elettriche;Tot_congiunturale_in_fr.;esportazioni;9078046572.36
2016;Svizzera;27 Apparecchiature elettriche;Tot_congiunturale_in_fr.;importazioni;7819070729.93
2016;Svizzera;27 Apparecchiature elettriche;Tot_complessivo_in_fr.;esportazioni;9078046572.36
2016;Svizzera;27 Apparecchiature elettriche;Tot_complessivo_in_fr.;importazioni;7819070729.93
2016;Svizzera;28 Macchine ed apparecchi meccanici n.c.a.;Tot_congiunturale_in_fr.;esportazioni;20818723222.19
2016;Svizzera;28 Macchine ed apparecchi meccanici n.c.a.;Tot_congiunturale_in_fr.;importazioni;12645832209.57
2016;Svizzera;28 Macchine ed apparecchi meccanici n.c.a.;Tot_complessivo_in_fr.;esportazioni;20818723222.19
2016;Svizzera;28 Macchine ed apparecchi meccanici n.c.a.;Tot_complessivo_in_fr.;importazioni;12645832209.57
2016;Svizzera;29 Autoveicoli, rimorchi e semirimorchi;Tot_congiunturale_in_fr.;esportazioni;2151875929.61
2016;Svizzera;29 Autoveicoli, rimorchi e semirimorchi;Tot_congiunturale_in_fr.;importazioni;13288158807.19
2016;Svizzera;29 Autoveicoli, rimorchi e semirimorchi;Tot_complessivo_in_fr.;esportazioni;2151875929.61
2016;Svizzera;29 Autoveicoli, rimorchi e semirimorchi;Tot_complessivo_in_fr.;importazioni;13288158807.19
2016;Svizzera;30 Altri mezzi di trasporto;Tot_congiunturale_in_fr.;esportazioni;3200761966.32
2016;Svizzera;30 Altri mezzi di trasporto;Tot_congiunturale_in_fr.;importazioni;6103415026.08
2016;Svizzera;30 Altri mezzi di trasporto;Tot_complessivo_in_fr.;esportazioni;3200761966.32
2016;Svizzera;30 Altri mezzi di trasporto;Tot_complessivo_in_fr.;importazioni;6103415026.08
2016;Svizzera;31 Mobilio;Tot_congiunturale_in_fr.;esportazioni;552589278.42
2016;Svizzera;31 Mobilio;Tot_congiunturale_in_fr.;importazioni;3052888853.37
2016;Svizzera;31 Mobilio;Tot_complessivo_in_fr.;esportazioni;552589278.42
2016;Svizzera;31 Mobilio;Tot_complessivo_in_fr.;importazioni;3052888853.37
2016;Svizzera;32 Altri manufatti;Tot_congiunturale_in_fr.;esportazioni;19441889317.61
2016;Svizzera;32 Altri manufatti;Tot_congiunturale_in_fr.;importazioni;15394046287.35
2016;Svizzera;32 Altri manufatti;Tot_complessivo_in_fr.;esportazioni;22604178495.7
2016;Svizzera;32 Altri manufatti;Tot_complessivo_in_fr.;importazioni;19430079260.32
2016;Svizzera;33 Servizi di riparazione e installazione di macchinari e apparecchi;Tot_congiunturale_in_fr.;esportazioni;0
2016;Svizzera;33 Servizi di riparazione e installazione di macchinari e apparecchi;Tot_congiunturale_in_fr.;importazioni;0
2016;Svizzera;33 Servizi di riparazione e installazione di macchinari e apparecchi;Tot_complessivo_in_fr.;esportazioni;0
2016;Svizzera;33 Servizi di riparazione e installazione di macchinari e apparecchi;Tot_complessivo_in_fr.;importazioni;0
2016;Svizzera;35 Energia elettrica, gas, vapore e aria condizionata;Tot_congiunturale_in_fr.;esportazioni;1385690850.02
2016;Svizzera;35 Energia elettrica, gas, vapore e aria condizionata;Tot_congiunturale_in_fr.;importazioni;1530547100.02
2016;Svizzera;35 Energia elettrica, gas, vapore e aria condizionata;Tot_complessivo_in_fr.;esportazioni;1385690850.02
2016;Svizzera;35 Energia elettrica, gas, vapore e aria condizionata;Tot_complessivo_in_fr.;importazioni;1530547100.02
2016;Svizzera;"36 Acqua naturale; servizi di trattamento delle acque e di produzione e distribuzione d'acqua";Tot_congiunturale_in_fr.;esportazioni;0
2016;Svizzera;"36 Acqua naturale; servizi di trattamento delle acque e di produzione e distribuzione d'acqua";Tot_congiunturale_in_fr.;importazioni;0
2016;Svizzera;"36 Acqua naturale; servizi di trattamento delle acque e di produzione e distribuzione d'acqua";Tot_complessivo_in_fr.;esportazioni;0
2016;Svizzera;"36 Acqua naturale; servizi di trattamento delle acque e di produzione e distribuzione d'acqua";Tot_complessivo_in_fr.;importazioni;0
2016;Svizzera;"37 Servizi di smaltimento delle acque di scarico; fanghi di depurazione";Tot_congiunturale_in_fr.;esportazioni;2231
2016;Svizzera;"37 Servizi di smaltimento delle acque di scarico; fanghi di depurazione";Tot_congiunturale_in_fr.;importazioni;30974
2016;Svizzera;"37 Servizi di smaltimento delle acque di scarico; fanghi di depurazione";Tot_complessivo_in_fr.;esportazioni;2231
2016;Svizzera;"37 Servizi di smaltimento delle acque di scarico; fanghi di depurazione";Tot_complessivo_in_fr.;importazioni;30974
